Designator,Mid X,Mid Y,Rotation,Layer
D1,181.7875,-38.75,0.0,bottom
D2,174.145,-38.75,0.0,bottom
J1,152.29,-70.38,180.0,bottom
J2,205.4,-33.4,0.0,bottom
MX1,228.459937,-61.224229,180.0,bottom
MX10,296.052508,-117.056459,180.0,bottom
MX11,258.002508,-117.056459,180.0,bottom
MX12,277.027508,-103.735459,180.0,bottom
MX13,284.063308,-80.377459,180.0,bottom
MX14,310.343507,-68.39,180.0,bottom
MX15,338.692224,-68.39,180.0,bottom
MX16,364.916338,-81.39,180.0,bottom
MX17,284.063308,-56.737459,180.0,bottom
MX18,310.343507,-44.75,180.0,bottom
MX19,338.692224,-44.75,180.0,bottom
MX2,46.003536,-61.029483,180.0,bottom
MX20,364.916338,-57.75,180.0,bottom
MX21,205.459937,-61.224229,180.0,bottom
MX22,182.459937,-61.224229,180.0,bottom
MX3,70.87,-44.75,180.0,bottom
MX4,99.493268,-44.75,180.0,bottom
MX5,125.675055,-56.519472,180.0,bottom
MX6,137.675055,-108.519472,180.0,bottom
MX7,156.700055,-121.840472,180.0,bottom
MX8,258.002508,-143.698459,180.0,bottom
MX9,277.027508,-130.377459,180.0,bottom
R1,193.89,-37.34,180.0,bottom
R2,212.9725,-37.07,0.0,bottom
